repo,developer,commit,addition,deletion,days_since_last_commit,days_first_to_last_commit,author
clojure/clojure,Rich Hickey,1817,4608,9216,20,3421,1
clojure/clojure,Stuart Halloway,249,531,1062,25,2228,1
clojure/clojure,Tom Faulhaber,226,48,96,1088,998,0
clojure/clojure,Hudson @ build.clojure.org,152,152,304,22,1662,0
clojure/clojure,Alex Miller,83,225,450,22,1756,0
clojure/clojure,Christophe Grand,56,88,176,656,1557,0
clojure/clojure,Andy Fingerhut,43,85,170,25,1225,0
clojure/clojure,Stuart Sierra,36,85,170,641,1516,0
clojure/clojure,Chouser,30,42,84,1362,893,0
clojure/clojure,Nicola Mometto,20,44,88,25,338,0
clojure/clojure,fogus,20,41,82,669,1186,0
clojure/clojure,Ben Smith-Mannschott,17,34,68,1250,605,0
clojure/clojure,Chas Emerick,17,46,92,1039,1219,0
clojure/clojure,Alexander Taggart,13,29,58,1348,406,0
clojure/clojure,Tassilo Horn,13,16,32,1039,309,0
