repo,developer,commit,addition,deletion,days_since_last_commit,days_first_to_last_commit,author
composer/composer,Jordi Boggiano,2884,4136,8272,5,1586,0
composer/composer,Nils Adermann,500,745,1490,25,1578,0
composer/composer,Igor Wiedler,117,206,412,503,947,0
composer/composer,Rob Bast,101,220,440,11,245,0
composer/composer,till,78,86,172,878,393,0
composer/composer,Martin HasoÃÂ,56,0,0,617,0,0
composer/composer,Beau Simensen,54,132,264,617,727,0
composer/composer,FranÃÂ§ois Pluchino,43,0,0,617,0,0
composer/composer,Christophe Coevoet,41,51,102,5,1356,0
composer/composer,everzet,39,142,284,1424,10,0
composer/composer,digitalkaoz,38,92,184,1256,102,0
composer/composer,PÃÂ¡draic Brady,35,0,0,617,0,0
composer/composer,Chris Smith,34,38,76,277,890,0
composer/composer,Andreas Hennings,25,60,120,567,187,0
composer/composer,Alexey Prilipko,21,87,174,1141,34,0
composer/composer,Clark Stuth,21,55,110,518,11,0
composer/composer,Benjamin Eberlei,20,61,122,898,621,0
composer/composer,matt-whittom,18,62,124,595,125,0
composer/composer,Henrique Moody,17,17,34,1288,3,0
composer/composer,Justin Rainbow,17,23,46,1291,38,0
composer/composer,Sandy Pleyte,17,27,54,520,34,0
composer/composer,Per Bernhardt,16,24,48,1262,124,0
composer/composer,Ryan Weaver,16,31,62,347,1095,0
composer/composer,Kirill chEbba Chebunin,15,29,58,1096,344,0
composer/composer,Johannes M. Schmitt,14,20,40,1058,133,0
composer/composer,Matthias Pigulla,14,38,76,316,1039,0
composer/composer,Serge Smertin,14,25,50,857,24,0
composer/composer,Hugo Hamon,13,13,26,109,1213,0
composer/composer,nevvermind,13,39,78,78,12,0
composer/composer,Andreas MoÃÂller,12,0,0,617,0,0
composer/composer,Fabien Potencier,12,19,38,484,912,0
composer/composer,Joshua Estes,12,16,32,1056,2,0
composer/composer,Kocsis MÃÂ¡tÃÂ©,12,0,0,617,0,0
composer/composer,Mateusz Heleniak,12,18,36,1060,191,0
composer/composer,Matthieu Moquet,12,65,130,880,0,0
composer/composer,mwhittom,12,33,66,631,89,0
composer/composer,Nicolas Toniazzi,11,9,18,34,280,0
composer/composer,Robert SchÃÂ¶nthal,11,0,0,617,0,0
composer/composer,SofHad,11,12,24,207,35,0
composer/composer,Wil Moore III,11,13,26,1266,163,0
composer/composer,Bastian Hofmann,10,14,28,335,891,0
composer/composer,Jerome Tamarelle,10,22,44,1215,0,0
composer/composer,Volker Dusch,10,20,40,1283,1,0
composer/composer,jakoch,10,22,44,149,333,0
composer/composer,Bilal Amarni,9,25,50,543,553,0
composer/composer,Henrik BjÃÂ¸rnskov,9,0,0,617,0,0
composer/composer,JÃÂ©rÃÂ´me Tamarelle,9,0,0,617,0,0
composer/composer,Karoly Negyesi,9,11,22,702,2,0
composer/composer,MiklÃÂs MÃÂ¡rton,9,0,0,617,0,0
composer/composer,Sander Marechal,9,12,24,877,179,0
composer/composer,Tobias Munk,9,12,24,813,5,0
composer/composer,Christoph,8,70,140,5,1356,0
composer/composer,Gennady Feldman,8,31,62,564,102,0
composer/composer,Jonathan Eskew,8,29,58,55,4,0
composer/composer,Luis Cordova,8,10,20,334,916,0
composer/composer,Sam Minnee,8,12,24,56,782,0
composer/composer,Steve Buzonas,8,15,30,129,432,0
