repo,developer,commit,addition,deletion,days_since_last_commit,days_first_to_last_commit,author
ipython/ipython,Benjamin Ragan-Kelley,5749,11627,23254,6,1968,0
ipython/ipython,Thomas Kluyver,2805,4102,8204,4,1776,0
ipython/ipython,Jonathan Frederic,1894,4498,8996,14,901,0
ipython/ipython,Fernando Perez,1828,3452,6904,179,3523,0
ipython/ipython,Matthias Bussonnier,1809,2835,5670,1,1439,0
ipython/ipython,Brian E. Granger,1778,8060,16120,203,2651,0
ipython/ipython,Ville M. Vainio,802,1641,3282,2296,1217,0
ipython/ipython,Paul Ivanov,656,931,1862,357,1509,0
ipython/ipython,Evan Patterson,287,552,1104,1062,808,0
ipython/ipython,Bradley M. Froehle,213,300,600,734,622,0
ipython/ipython,Jessica B. Hamrick,211,292,584,140,647,0
ipython/ipython,Jason Grout,198,313,626,33,1534,0
ipython/ipython,DamiÃ¡n Avila,192,452,904,212,784,0
ipython/ipython,Gael Varoquaux,180,323,646,2217,715,0
ipython/ipython,Sylvain Corlay,136,284,568,73,518,0
ipython/ipython,Takafumi Arakaki,135,165,330,821,410,0
ipython/ipython,Walter Doerwald,114,181,362,1243,2159,0
ipython/ipython,JÃ¶rgen Stenarson,111,158,316,764,2739,0
ipython/ipython,Kyle Kelley,94,78,156,62,819,0
ipython/ipython,Scott Sanderson,75,116,232,148,204,0
ipython/ipython,Laurent DufrÃ©chou,74,107,214,2350,440,0
ipython/ipython,Zachary Sailer,61,228,456,677,59,0
ipython/ipython,Robert Kern,54,77,154,861,1962,0
ipython/ipython,Barry Wark,52,103,206,2560,71,0
ipython/ipython,Julian Taylor,52,94,188,551,948,0
ipython/ipython,Stefan van der Walt,49,116,232,1169,1463,0
ipython/ipython,David P. Sanders,39,45,90,666,102,0
ipython/ipython,Jonathan Taylor,39,51,102,1172,9,0
ipython/ipython,Gordon Ball,35,49,98,328,98,0
ipython/ipython,Greg Caporaso,35,42,84,941,156,0
ipython/ipython,chebeei,35,42,84,78,1417,0
ipython/ipython,David Warde-Farley,32,80,160,1001,947,0
ipython/ipython,Thomas Spura,32,128,256,394,1463,0
ipython/ipython,Doug Blank,31,47,94,222,359,0
ipython/ipython,Pablo de Oliveira,28,47,94,664,42,0
ipython/ipython,Nicholas Bollweg,25,66,132,161,132,0
ipython/ipython,Mathieu,24,38,76,169,59,0
ipython/ipython,Daniel B. Vasquez,22,27,54,489,88,0
ipython/ipython,Jan Schulz,22,23,46,167,929,0
ipython/ipython,Julia Evans,22,55,110,425,71,0
ipython/ipython,Jens Hedegaard Nielsen,21,24,48,761,816,0
ipython/ipython,Erik Tollerud,20,34,68,478,1288,0
ipython/ipython,Jakob Gager,20,30,60,177,829,0
ipython/ipython,Manuel Riel,20,21,42,321,3,0
ipython/ipython,Nicolas Rougier,20,24,48,1438,216,0
ipython/ipython,Satrajit Ghosh,19,27,54,1457,256,0
ipython/ipython,Aaron Meurer,18,25,50,9,1282,0
ipython/ipython,Kester Tong,18,40,80,295,0,0
ipython/ipython,Omar AndrÃ©s Zapata Mesa,18,26,52,1359,598,0
