repo,developer,commit,addition,deletion,days_since_last_commit,days_first_to_last_commit,author
rails/rails,Aaron Patterson,5520,7266,14532,1,2358,1
rails/rails,Rafael MendonÃ§a FranÃ§a,5158,2860,5720,1,1783,0
rails/rails,Jeremy Kemper,4115,8887,17774,43,3684,1
rails/rails,David Heinemeier Hansson,4027,11317,22634,6,3920,1
rails/rails,JosÃ© Valim,2926,6875,13750,272,2382,0
rails/rails,Xavier Noria,2280,3505,7010,45,2626,0
rails/rails,Santiago Pastorino,1873,2484,4968,3,2044,0
rails/rails,Yves Senn,1818,2004,4008,1,1557,0
rails/rails,Carlos Antonio da Silva,1755,1537,3074,1,2048,0
rails/rails,Vijay Dev,1234,1108,2216,1,1723,0
rails/rails,Jon Leighton,1207,3127,6254,546,1991,1
rails/rails,Joshua Peek,1162,4203,8406,165,2524,1
rails/rails,Pratik Naik,1022,4096,8192,42,2687,0
rails/rails,Sean Griffin,808,2085,4170,1,889,1
rails/rails,Michael Koziarski,769,1349,2698,631,2979,0
rails/rails,Guillermo Iguaran,727,671,1342,6,1564,0
rails/rails,Andrew White,638,881,1762,4,2640,0
rails/rails,Arun Agrawal,607,633,1266,2,1589,0
rails/rails,Piotr Sarnacki,598,1813,3626,586,1294,1
rails/rails,Emilio Tagua,548,832,1664,1594,855,0
rails/rails,Ryan Bigg,538,420,840,29,2548,0
rails/rails,Rick Olson,477,1434,2868,2693,767,0
rails/rails,Akira Matsuda,472,781,1562,3,2538,0
rails/rails,Zachary Scott,452,263,526,8,877,0
rails/rails,Godfrey Chan,417,484,968,4,1187,0
rails/rails,Francesco Rodriguez,389,818,1636,578,636,0
rails/rails,Neeraj Singh,377,650,1300,261,1683,0
rails/rails,Jamis Buck,372,1049,2098,959,2781,0
rails/rails,Marcel Molina,322,882,1764,2755,865,0
rails/rails,Charlie Somerville,313,25,50,463,430,0
rails/rails,Yehuda Katz,302,2127,4254,836,1824,0
rails/rails,kennyj,271,503,1006,696,746,0
rails/rails,Mikel Lindsaar,270,842,1684,833,1279,0
rails/rails,Prem Sichanugrist,262,1101,2202,39,2168,0
rails/rails,Nicholas Seckar,255,642,1284,2889,812,0
rails/rails,Matthew Draper,249,177,354,4,610,0
rails/rails,Mike Gunderloy,242,404,808,1274,1276,0
rails/rails,wycats,242,1595,3190,836,1824,0
rails/rails,Steve Klabnik,241,376,752,700,568,0
rails/rails,Robin Dupret,238,421,842,1,1146,0
rails/rails,Vipul A M,234,538,1076,86,930,0
rails/rails,Carl Lerche,213,2029,4058,830,1516,0
rails/rails,Arthur Neves,193,283,566,15,684,0
rails/rails,Timm,192,393,786,1,1740,0
rails/rails,Nick Kallen,190,1704,3408,2291,504,0
rails/rails,Yehuda Katz + Carl Lerche,188,1125,2250,2106,210,0
rails/rails,Abdelkader Boudih,184,232,464,2,462,0
rails/rails,Frederick Cheung,161,282,564,518,2164,0
rails/rails,schneems,161,384,768,18,1329,0
rails/rails,Sebastian Martinez,159,321,642,1061,925,0
rails/rails,Åukasz StrzaÅkowski,156,492,984,299,1588,0
rails/rails,Prathamesh Sonpatki,149,234,468,38,851,0
rails/rails,Oscar Del Ben,140,205,410,1114,266,0
rails/rails,Josh Kalderimis,139,456,912,1473,462,0
rails/rails,Bryan Helmkamp,137,725,1450,1796,984,0
rails/rails,Sergey Nartimov,125,279,558,925,426,0
rails/rails,Alexey Vakhov,123,140,280,854,599,0
rails/rails,Carlhuda,123,552,1104,1807,294,0
rails/rails,Kasper Timm Hansen,120,111,222,1,372,0
rails/rails,claudiob,120,327,654,9,1298,0
rails/rails,yui-knk,118,126,252,1,362,0
rails/rails,Arthur Nogueira Neves,116,2,4,14,539,0
rails/rails,yuuji.yaginuma,114,160,320,2,434,0
rails/rails,Vishnu Atrai,111,125,250,787,795,0
rails/rails,Sven Fuchs,110,288,576,1582,1075,0
rails/rails,eileencodes,109,178,356,2,510,0
rails/rails,Hongli Lai (Phusion),107,187,374,1891,703,0
rails/rails,Sam Stephenson,106,330,660,2455,1326,0
rails/rails,Jaime Iniesta,102,121,242,820,1180,0
rails/rails,Geoff Buesing,97,846,1692,793,2038,0
rails/rails,Tarmo TÃ¤nav,96,187,374,1853,813,0
rails/rails,Bogdan Gusiev,95,210,420,195,1357,0
rails/rails,Ernie Miller,94,286,572,88,2525,0
rails/rails,Tobias LÃ¼tke,94,235,470,1842,1768,0
rails/rails,Guo Xiang Tan,93,250,500,40,494,0
rails/rails,Ryuta Kamizono,89,294,588,7,636,0
rails/rails,Damien Mathieu,88,119,238,159,1886,0
rails/rails,Rizwan Reza,88,219,438,482,1564,0
rails/rails,Juanito Fatas,87,86,172,33,682,0
rails/rails,Akshay Vishnoi,85,191,382,89,560,0
rails/rails,wangjohn,83,202,404,699,248,0
rails/rails,Raimonds Simanovskis,82,130,260,1456,812,0
rails/rails,Aman Gupta,80,6,12,643,1326,0
rails/rails,GonÃ§alo Silva,78,121,242,1395,520,0
rails/rails,Leon Breedt,77,489,978,3576,264,0
rails/rails,Aditya Sanghi,76,103,206,78,1717,0
rails/rails,thedarkone,76,132,264,34,2351,0
rails/rails,Kuldeep Aggarwal,74,126,252,72,579,0
rails/rails,Yasuo Honda,73,85,170,4,1444,0
rails/rails,Jason Noble,68,99,198,1003,568,0
rails/rails,Vasiliy Ermolovich,65,134,268,498,869,0
rails/rails,Marc-Andre Lafortune,63,135,270,566,1642,0
rails/rails,Thomas Fuchs,63,258,516,2471,1150,0
rails/rails,Agis Anastasopoulos,61,69,138,869,169,0
rails/rails,Mehmet Emin Ä°NAÃ,61,120,240,18,125,0
rails/rails,Trevor Turk,61,99,198,813,1836,0
rails/rails,Daniel Schierbeck,60,83,166,472,2064,0
rails/rails,Gaurish Sharma,60,68,136,65,1168,0
rails/rails,JosÃ© Valim and Mikel Lindsaar,59,211,422,2037,6,0
rails/rails,Richard Schneeman,59,2,4,3,985,0
rails/rails,Joost Baaij,58,79,158,498,1329,0
rails/rails,rick,58,554,1108,195,2495,0
rails/rails,Jon Atack,57,81,162,3,489,0
rails/rails,Mislav MarohniÄ,57,80,160,1860,825,0
