,dev,commit,pull_open,pull_merged
0,danielbachhuber,982,0,294
1,scribu,1983,0,421
2,schlessera,0,0,0
3,ernilambar,0,0,0
4,gitlost,0,0,0
5,miya0001,14,0,0
6,jmslbam,90,0,0
7,rodrigoprimo,69,0,0
8,szepeviktor,54,0,0
9,andreascreten,61,0,9
10,GaryJones,0,0,0
11,johnbillion,43,0,0
12,jrfnl,0,0,0
13,thrijith,0,0,0
14,gilbitron,0,0,0
15,wojsmol,1,0,0
16,aaemnnosttv,0,0,0
17,lkwdwrd,29,0,0
18,nyordanov,23,0,0
19,hideokamoto,0,0,0
20,goldenapples,24,0,0
21,leewillis77,24,0,0
22,ocean90,2,0,0
23,trepmal,21,0,0
24,dependencies-bot,0,0,0
25,villevuor,0,0,0
26,getsource,20,0,0
27,acusti,18,0,0
28,jtsternberg,17,0,0
29,mwilliamson-red-gate,17,0,0
30,mwilliamson,17,0,0
31,eugeneware,16,0,0
32,mpeshev,16,0,0
33,sebastiaandegeus,16,0,0
34,cyberhobo,15,0,0
35,francescolaffi,15,0,0
36,mbovel,0,0,0
37,tlovett1,15,0,0
38,pierre-dargham,0,0,0
39,westonruter,13,0,0
40,stephenharris,0,0,0
41,JPry,12,0,0
42,Sidsector9,0,0,0
43,stevegrunwell,11,0,0
44,boonebgorges,10,0,0
45,swissspidy,0,0,0
46,wesm87,0,0,0
47,apertureless,0,0,0
48,Rarst,6,0,0
49,shadyvb,0,0,0
50,chriszarate,0,0,0
51,ejdanderson,9,0,0
52,mboynes,9,0,0
53,JRGould,2,0,0
54,killua99,0,0,0
55,NateWr,0,0,0
56,conatus,8,0,0
57,mattheu,8,0,0
58,om4james,8,0,0
59,Japh,7,0,0
60,man4toman,0,0,0
61,itsananderson,7,0,0
62,balbuf,0,0,0
63,janw-me,0,0,0
64,modelm,0,0,0
65,SpikesDivZero,6,0,0
66,PatelUtkarsh,0,0,0
67,ctayloroomphinc,6,0,0
68,jacobischwartz,0,0,0
69,matiskay,6,0,0
70,roelven,6,0,0
71,voldemortensen,0,0,0
72,austinginder,0,0,0
73,montchr,5,0,0
74,mmcev106,0,0,0
75,petenelson,0,0,0
76,Ramoonus,0,0,0
77,rosswintle,0,0,0
78,tillkruss,0,0,0
79,WhiteWinterWolf,0,0,0
